"#experimentId"	"experimentName"	"experimentDescription"	"experimentSource"	"experimentStatus"	"comment"	"tags"
"SRP011074"	"Deep sequencing the circadian and light-dependent transcriptome of Drosophila brain"	"RNA-Seq transcriptional profiling of Drosophila brains from wildtype and period loss-of-function (per0) flies with time points taken over two days in constant darkness. Time points at CT24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, and 68. 10-12 brains per time point."	"GEO"	"partial"	"GSE36108"	
"SRP108727"	"Integrating transcriptome and proteome profiles of prenatal muscle tissue to reveal the postnatal growth differences in pigsof Pig Muscle Tissue"	"RNA sequences from the tissues of embryonic longissimus dorsi muscle of three pig breeds (Tibetan pig [TP], Wujin pig [WJ], and Large White pig [LW]) were examined using HiSeq 4000."	"GEO"	"total"	"GSE99749"	
"SRP042013"	"RNA-Seq data from a number of different Spotted Gar tissues"	"Illumina sequencing of Lepisosteus oculatus via complementary DNA"	"SRA"	"total"	"PRJNA247500"	
"SRP044782"	"Transcriptome analysis of 11 spotted gar tissues"	"Total RNA was qualified using an Agilent BioAnalyzer and 1 µg was used for polyA selection and library construction with Illumina's TruSeq stranded total RNA sample preparation kit according to the manufacturer's instructions (TruSeq stranded total RNA SamplePrep Guide RevC)"	"SRA"	"total"	"PRJNA255881"	"PhyloFish"
"#SRP044783"	"Transcriptome analysis of 10 bowfin tissues"	"Total RNA was qualified using an Agilent BioAnalyzer and 1 µg was used for polyA selection and library construction with Illumina's TruSeq stranded total RNA sample preparation kit according to the manufacturer's instructions (TruSeq stranded total RNA SamplePrep Guide RevC)"	"SRA"		"PRJNA255850; Amia calva (bowfin) commented because not yet NCBI sequenced"	"PhyloFish"
"SRP044784"	"Transcriptome analysis of 11 medaka tissues"	"Total RNA was qualified using an Agilent BioAnalyzer and 1 µg was used for polyA selection and library construction with Illumina's TruSeq stranded total RNA sample preparation kit according to the manufacturer's instructions (TruSeq stranded total RNA SamplePrep Guide RevC)"	"SRA"	"total"	"PRJNA255889"	"PhyloFish"
"SRP011583"	"Salmo salar Genome sequencing and assembly"	"Atlantic salmon is one of 68 closely related species of salmonids which comprise eleven genera that include salmon, trout, charr, freshwater whitefishes, ciscos and graylings. Atlantic salmon are of considerable economic, social and environmental importance. Salmonids contribute to local and global economies through aquaculture, wild stock fisheries and recreational sport fisheries. In addition, they are a traditional food source for aboriginal peoples and play a central role in their culture. Salmon and trout are sentinel species for monitoring the aquatic environment, and therefore they are used extensively for eco-toxicology studies. Importantly, the common ancestor of salmon and trout experienced a whole genome duplication (60-100MYA), and modern species may be considered pseudo tetraploid as they are well along the process of reverting to a stable diploid state. There is a large salmonid research community working on the biology, life histories, population dynamics, biogeography, phylogenetic relationships, physiology and nutrition of salmonids. No other species group of fishes receives such comprehensive commercial and scientific attention. p An International Collaboration to Sequence the Atlantic Salmon Genome (ICSASG), representing researchers, funding agencies and industry from Canada, Chile and Norway, was formed to undertake a comprehensive genome sequence that would benefit all salmonids. p Note: Double haploid individual chosen for sequencing"	"SRA"	"partial"	"PRJNA72713"	
"SRP059010"	"Salmo salar Genome sequencing and Transcriptome or Gene expression"	"Salmo salar reference transcriptome "	"SRA"	"partial"	"PRJNA260929"	
"SRP101596"	"Manis javanica Raw sequence reads"	"The Malayan pangolin (Manis javanica), an unusual mammal that is a scale-covered, toothless specialist myrmecophage, is maintained primarily through captive breeding in China. Maintaining this species in captivity is a significant challenge partly because little is known about its behavior and reproduction. The molecular mechanisms of its digestive system play a key role in the feeding and dietary husbandry of pangolins in captivity. Here, we performed the first large-scale sequencing of M. javanica transcriptomes from three digestive organs-the salivary glands, liver, and small intestine-by using Illumina HiSeq technology- to provides useful genetic resources for future functional work that may be relevant for the maintenance of captive pangolins."	"SRA"	"total"	"PRJNA377215"	
"SRP064341"	"Manis javanica Transcriptome or Gene expression"	"Malayan pangolin is a unique mammalian species endemic to Southeast Asia but little was known about its molecular data. This species is currently listed as critically endangered. We sequenced the transcriptome of multiple tissues from a female pangolin as an initiative to study this organism at the molecular level."	"SRA"	"total"	"PRJNA283328; SRA displays 9 samples (we annotated), while BioSamples (used for tissue information) has 10 samples"	
"SRP051844"	"mRNA-Seq Expression profiling of human post-mortem BA9 brain tissue for Huntington's Disease and neurologically normal individuals"	"20 Huntington's Disease and 49 neurologically normal control samples from post-mortem human subjects"	"GEO"	"partial"	"GSE64810"	
"SRP058709"	"Transcriptome Profiling of Developing Murine Lens through RNA Sequencing"	"Whole transcrtiome and microRNA profilling of mouse lens using 2 embryonic (E15 and E18) and 4 postnatal stages (P0, P3, P6 and P9) in duplicates through high-throughput sequening using Illumina HiSeq2000."	"GEO"	"partial"	"GSE69221"	
"SRP081209 "	"Systematic identification and characterization of long non-coding RNAs in zebrafish through RNA-Seq"	"Examination of mRNA and long noncoding RNA levels in embryonic heart, adult heart, and adult muscle tissues"	"GEO"	"total"	"GSE85416"	
"SRP103128"	"Identification and Characterization of a Class of MALAT1-like Genomic Loci"	"4 RNA-Seq datasets analyzing gene expression in Anolis carolinensis. NSR-Seq of brain and testis, small RNA-Seq of testis (19-33 nt), small RNA-Seq of testis (52-68 nt)."	"GEO"	"partial"	"GSE97451"	
"SRP045471"	"A relative shift in cloacal location repositions external genitalia in amniote evolution"	"RNA-seq profiling of embryonic limb and external genitalia tissue at different stages of development, in mouse and anole lizard, in duplicates, using Illumina HiSeq"	"GEO"	"total"	"GSE60373"	
"#SRP002394"	"An Atlas of Bovine Gene Expression Reveals Novel Distinctive Tissue Characteristics and Evidence for Improving Genome Annotation"	"Background: A comprehensive transcriptome survey, or ""gene atlas"", provides information essential for a complete understanding of the genomic biology of an organism. We present an atlas of RNA abundance for 92 adult, juvenile and fetal cattle tissues and 3 cattle cell lines. Results: The Bovine Gene Atlas was generated from 7.2 million unique digital gene expression tag sequences (300.2 million total raw tag sequences), from which 1.59 million unique tag sequences were identified that mapped to the bovine genome accounting for 85% of the total raw tag abundance. Filtering these tags yielded 87,764 unique tag sequences that unambiguously mapped to 16,517 annotated protein-coding loci in the genome accounting for 45% of the total raw tag abundance. Clustering of tissues based on tag abundance profiles generally confirmed ontology classification based on anatomy. There were 5,429 constitutively expressed loci and 3,445 constitutively expressed unique tag sequences mapping outside annotated gene boundaries that represent a resource for enhancing current gene models. Physical measures such as inferred transcript length or antisense tag abundance identified tissues with atypical transcriptional tag profiles. We report for the first time the tissue specific variation in the proportion of mitochondrial transcriptional tag abundance. The Bovine Gene Atlas can be examined at http://www.agbase.msstate.edu/bovineatlas . Conclusions: The Bovine Gene Atlas is the deepest and broadest transcriptome survey of any livestock genome to date. Commonalities and variation in sense and antisense transcript tag profiles identified in different tissues facilitate the examination of the relationship between gene expression, tissue, and gene function. Overall design: An atlas of mRNA abundance for 92 adult, juvenile and fetal cattle tissues and 3 cattle cell lines."	"GEO"	"partial"	"GSE21544; discarded, DpnII tag-based libraries"	
"SRP001696"	"modENCODE D. melanogaster Developmental Total RNA-Seq"	"These data were produced for the modENCODE project (http://www.modencode.org/). For a description of the protocols and other experimental details please refer to the data distribution site http://www.modencode.org/Celniker.shtml. In accordance with NHGRI guidelines for community resource projects (http://www.genome.gov/), there is no restriction on the use or analysis of these data. However, the end-user is asked to respect a nine-month moratorium (from the public submission date) before submitting manuscripts describing analysis of these data. If the data producer has published any description of these data before the nine-month period, the moratorium ceases to apply and this accession page will be updated to note the appropriate citation."	"SRA"	"partial"	"PRJNA75285 no information about replicates, found no paper but technical replicates detected by SRS id"	
